layer,pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
attention,16,n<=32,sr<=15%,kvB<=1k,kp<=1k,0.0682,6
attention,16,n<=32,sr<=15%,kvB<=1k,kp<=2k,0.0675,6
attention,16,n<=32,sr<=15%,kvB<=1k,kp<=4k,0.0651,6
attention,16,n<=32,sr<=15%,kvB<=1k,kp<=512,0.1009,6
attention,16,n<=32,sr<=15%,kvB<=1k,kp<=8k,0.0793,6
attention,16,n<=32,sr<=15%,kvB<=1k,kp=0,0.1444,11
attention,16,n<=32,sr<=15%,kvB<=4k,kp<=1k,0.0743,6
attention,16,n<=32,sr<=15%,kvB<=4k,kp<=2k,0.0504,6
attention,16,n<=32,sr<=15%,kvB<=4k,kp<=4k,0.0109,6
attention,16,n<=32,sr<=15%,kvB<=4k,kp<=512,0.0831,6
attention,16,n<=32,sr<=15%,kvB<=4k,kp<=8k,0.0055,6
attention,16,n<=32,sr<=15%,kvB<=4k,kp=0,0.0938,10
attention,16,n<=32,sr<=40%,kvB<=16k,kp<=1k,0.0741,2
attention,16,n<=32,sr<=40%,kvB<=16k,kp<=2k,0.0663,2
attention,16,n<=32,sr<=40%,kvB<=16k,kp<=4k,0.0502,2
attention,16,n<=32,sr<=40%,kvB<=16k,kp<=512,0.0755,2
attention,16,n<=32,sr<=40%,kvB<=16k,kp<=8k,0.0241,2
attention,16,n<=32,sr<=40%,kvB<=16k,kp=0,0.0763,2
attention,16,n<=32,sr<=40%,kvB<=1k,kp<=1k,0.1008,2
attention,16,n<=32,sr<=40%,kvB<=1k,kp<=2k,0.0942,2
attention,16,n<=32,sr<=40%,kvB<=1k,kp<=4k,0.1174,2
attention,16,n<=32,sr<=40%,kvB<=1k,kp<=512,0.1357,2
attention,16,n<=32,sr<=40%,kvB<=1k,kp<=8k,0.1277,2
attention,16,n<=32,sr<=40%,kvB<=1k,kp=0,0.1697,2
attention,16,n<=32,sr<=40%,kvB<=4k,kp<=1k,0.0514,2
attention,16,n<=32,sr<=40%,kvB<=4k,kp<=2k,0.0301,2
attention,16,n<=32,sr<=40%,kvB<=4k,kp<=4k,-0.0169,2
attention,16,n<=32,sr<=40%,kvB<=4k,kp<=512,0.0691,2
attention,16,n<=32,sr<=40%,kvB<=4k,kp<=8k,-0.0205,2
attention,16,n<=32,sr<=40%,kvB<=4k,kp=0,0.0813,2
attention,16,n<=32,sr<=5%,kvB<=16k,kp<=1k,0.0775,2
attention,16,n<=32,sr<=5%,kvB<=16k,kp<=2k,0.07,2
attention,16,n<=32,sr<=5%,kvB<=16k,kp<=4k,0.0489,2
attention,16,n<=32,sr<=5%,kvB<=16k,kp<=512,0.0812,2
attention,16,n<=32,sr<=5%,kvB<=16k,kp<=8k,0.0392,2
attention,16,n<=32,sr<=5%,kvB<=16k,kp=0,0.0841,2
attention,16,n<=32,sr<=5%,kvB<=1k,kp<=1k,0.0228,2
attention,16,n<=32,sr<=5%,kvB<=1k,kp<=2k,0.0082,2
attention,16,n<=32,sr<=5%,kvB<=1k,kp<=4k,0.0069,2
attention,16,n<=32,sr<=5%,kvB<=1k,kp<=512,0.0482,2
attention,16,n<=32,sr<=5%,kvB<=1k,kp<=8k,0.0233,2
attention,16,n<=32,sr<=5%,kvB<=1k,kp=0,0.0879,2
attention,16,n<=32,sr<=5%,kvB<=4k,kp<=1k,0.0816,2
attention,16,n<=32,sr<=5%,kvB<=4k,kp<=2k,0.0676,2
attention,16,n<=32,sr<=5%,kvB<=4k,kp<=4k,0.0225,2
attention,16,n<=32,sr<=5%,kvB<=4k,kp<=512,0.0921,2
attention,16,n<=32,sr<=5%,kvB<=4k,kp<=8k,0.027,2
attention,16,n<=32,sr<=5%,kvB<=4k,kp=0,0.1071,2
attention,16,n<=32,sr<=70%,kvB<=16k,kp<=1k,0.2719,2
attention,16,n<=32,sr<=70%,kvB<=16k,kp<=2k,0.2883,2
attention,16,n<=32,sr<=70%,kvB<=16k,kp<=4k,0.1117,2
attention,16,n<=32,sr<=70%,kvB<=16k,kp<=512,0.2768,2
attention,16,n<=32,sr<=70%,kvB<=16k,kp<=8k,0.1696,2
attention,16,n<=32,sr<=70%,kvB<=16k,kp=0,0.1867,6
attention,16,n<=32,sr<=70%,kvB<=1k,kp<=1k,0.0498,2
attention,16,n<=32,sr<=70%,kvB<=1k,kp<=2k,0.068,2
attention,16,n<=32,sr<=70%,kvB<=1k,kp<=4k,0.0237,2
attention,16,n<=32,sr<=70%,kvB<=1k,kp<=512,0.0784,2
attention,16,n<=32,sr<=70%,kvB<=1k,kp<=8k,0.0537,2
attention,16,n<=32,sr<=70%,kvB<=1k,kp=0,0.1553,7
attention,16,n<=32,sr<=70%,kvB<=4k,kp<=1k,0.048,2
attention,16,n<=32,sr<=70%,kvB<=4k,kp<=2k,0.016,2
attention,16,n<=32,sr<=70%,kvB<=4k,kp<=4k,-0.021,2
attention,16,n<=32,sr<=70%,kvB<=4k,kp<=512,0.0674,2
attention,16,n<=32,sr<=70%,kvB<=4k,kp<=8k,0.008,2
attention,16,n<=32,sr<=70%,kvB<=4k,kp=0,0.0948,6
attention,16,n<=32,sr>70%,kvB<=16k,kp<=1k,1.6676,4
attention,16,n<=32,sr>70%,kvB<=16k,kp<=2k,1.5906,4
attention,16,n<=32,sr>70%,kvB<=16k,kp<=4k,0.9556,4
attention,16,n<=32,sr>70%,kvB<=16k,kp<=512,1.5545,4
attention,16,n<=32,sr>70%,kvB<=16k,kp<=8k,1.1581,4
attention,16,n<=32,sr>70%,kvB<=16k,kp=0,1.5953,4
attention,16,n<=32,sr>70%,kvB<=1k,kp<=1k,0.2011,4
attention,16,n<=32,sr>70%,kvB<=1k,kp<=2k,0.2716,4
attention,16,n<=32,sr>70%,kvB<=1k,kp<=4k,0.2524,4
attention,16,n<=32,sr>70%,kvB<=1k,kp<=512,0.2402,4
attention,16,n<=32,sr>70%,kvB<=1k,kp<=8k,0.316,4
attention,16,n<=32,sr>70%,kvB<=1k,kp=0,0.3759,4
attention,16,n<=32,sr>70%,kvB<=4k,kp<=1k,0.1298,4
attention,16,n<=32,sr>70%,kvB<=4k,kp<=2k,0.0302,4
